TradeID,OrderID,OrderType,Signal,Date,Time,Price,Quantity,Profit,ProfitPct,CumulativeProfit,CumulativeProfitPct,MaxPotentialProfit,MaxPotentialProfitPct,MaxPotentialLoss,MaxPotentialLossPct
,168,Exit Short,SX,2003/12/30,11:15:00 AM,5896,1,,,,,,,,
85,169,Enter Long,LE_NON,2004/1/5,08:55:00 AM,6074,1,41400,3.40796839,1006500,1006.5,42700,3.51498189,-3300,-0.271649654
,170,Exit Long,LX_3,2004/1/9,09:05:00 AM,6286,1,,,,,,,,
86,171,Enter Long,LE_NON,2004/1/5,08:55:00 AM,6074,1,48100,3.959499506,1054600,1054.6,48100,3.959499506,-3300,-0.271649654
,172,Exit Long,LX_P,2004/1/14,11:05:00 AM,6317,1,,,,,,,,
87,173,Enter Long,LE_NON,2004/1/5,08:55:00 AM,6074,1,99400,8.182416859,1154000,1154,247100,20.34079684,-3300,-0.271649654
,174,Exit Long,LX,2004/3/15,01:45:00 PM,6576,1,,,,,,,,
88,175,Enter Short,SE_NON2,2004/3/16,08:55:00 AM,6506,3,-81600,-2.090378113,1072400,1072.4,0,0,-80100,-2.051952044
,176,Exit Short,SX_S,2004/3/16,12:35:00 PM,6637,3,,,,,,,,
89,177,Enter Long,LE_NON,2004/3/18,10:05:00 AM,6743,3,-237600,-5.872756933,834800,834.8,71700,1.772208216,-236100,-5.835681447
,178,Exit Long,LX_S,2004/3/22,08:55:00 AM,6352,3,,,,,,,,
90,179,Enter Short,SE_NON,2004/4/28,10:35:00 AM,6635,2,112000,4.220045215,946800,946.8,122200,4.604370761,-11000,-0.414468726
,180,Exit Short,SX_P,2004/4/29,01:05:00 PM,6350,2,,,,,,,,
91,181,Enter Short,SE_NON,2004/4/28,10:35:00 AM,6635,1,130000,9.796533534,1076800,1076.8,257900,19.43481537,-5500,-0.414468726
,182,Exit Short,SX,2004/6/9,10:35:00 AM,5980,1,,,,,,,,
92,183,Enter Short,SE_NON,2004/6/10,10:15:00 AM,5840,3,85800,2.448630137,1162600,1162.6,101700,2.90239726,-6900,-0.196917808
,184,Exit Short,SX_Dn,2004/6/14,08:55:00 AM,5692,3,,,,,,,,
93,185,Enter Long,LE_NOR,2004/8/20,08:55:00 AM,5542,1,35400,3.193792855,1198000,1198,37500,3.383255143,-3700,-0.333814507
,186,Exit Long,LX_3,2004/8/26,09:05:00 AM,5724,1,,,,,,,,
94,187,Enter Long,LE_NOR,2004/8/20,08:55:00 AM,5542,1,43900,3.96066402,1241900,1241.9,43900,3.96066402,-3700,-0.333814507
,188,Exit Long,LX_P,2004/8/26,09:15:00 AM,5764,1,,,,,,,,
